Order_ID	Order_Product_ID	Order_Date	Order_Priority	Order_Quantity	Sales	Discount	Ship_Mode	Profit	Unit_Price	Shipping_Cost	Customer_Name	Province	Region	Customer_Segment	Product_Category	Product_Sub_Category	Product_Name	Product_Container	Ship_Date
3	1	10/13/10	Low	6	261.54	0.04	Regular Air	-213.25	38.94	35	Muhammed MacIntyre	Nunavut	Nunavut	Small Business	Office Supplies	Storage & Organization	"Eldon Base for stackable storage shelf, platinum"	Large Box	2010-10-20
293	2	10/1/12	High	49	10123.02	0.07	Delivery Truck	457.81	208.16	68.02	Barry French	Nunavut	Nunavut	Consumer	Office Supplies	Appliances	"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"	Jumbo Drum	2012-10-02
293	3	10/1/12	High	27	244.57	0.01	Regular Air	46.71	8.69	2.99	Barry French	Nunavut	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	"Cardinal Slant-D¬ Ring Binder, Heavy Gauge Vinyl"	Small Box	2012-10-03
483	4	7/10/11	High	30	4965.7595	0.08	Regular Air	1198.97	195.99	3.99	Clay Rozendal	Nunavut	Nunavut	Corporate	Technology	Telephones and Communication	R380	Small Box	2011-07-12
515	5	8/28/10	Not Specified	19	394.27	0.08	Regular Air	30.94	21.78	5.94	Carlos Soltero	Nunavut	Nunavut	Consumer	Office Supplies	Appliances	Holmes HEPA Air Purifier	Medium Box	2010-08-30
515	6	8/28/10	Not Specified	21	146.69	0.05	Regular Air	4.43	6.64	4.95	Carlos Soltero	Nunavut	Nunavut	Consumer	Furniture	Office Furnishings	G.E. Longer-Life Indoor Recessed Floodlight Bulbs	Small Pack	2010-08-30
613	7	6/17/11	High	12	93.54	0.03	Regular Air	-54.04	7.3	7.72	Carl Jackson	Nunavut	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	"Angle-D Binders with Locking Rings, Label Holders"	Small Box	2011-06-17
613	8	6/17/11	High	22	905.08	0.09	Regular Air	127.7	42.76	6.22	Carl Jackson	Nunavut	Nunavut	Corporate	Office Supplies	Storage & Organization	"SAFCO Mobile Desk Side File, Wire Frame"	Small Box	2011-06-18
643	9	3/24/11	High	21	2781.82	0.07	Express Air	-695.26	138.14	35	Monica Federle	Nunavut	Nunavut	Corporate	Office Supplies	Storage & Organization	"SAFCO Commercial Wire Shelving, Black"	Large Box	2011-03-25
678	10	2/26/10	Low	44	228.41	0.07	Regular Air	-226.36	4.98	8.33	Dorothy Badders	Nunavut	Nunavut	Home Office	Office Supplies	Paper	Xerox 198	Small Box	2010-02-26
807	11	11/23/10	Medium	45	196.85	0.01	Regular Air	-166.85	4.28	6.18	Neola Schneider	Nunavut	Nunavut	Home Office	Office Supplies	Paper	Xerox 1980	Small Box	2010-11-24
807	12	11/23/10	Medium	32	124.56	0.04	Regular Air	-14.33	3.95	2	Neola Schneider	Nunavut	Nunavut	Home Office	Office Supplies	Rubber Bands	Advantus Map Pennant Flags and Round Head Tacks	Wrap Bag	2010-11-24
868	13	6/8/12	Not Specified	32	716.84	0	Regular Air	134.72	21.78	5.94	Carlos Daly	Nunavut	Nunavut	Home Office	Office Supplies	Appliances	Holmes HEPA Air Purifier	Medium Box	2012-06-09
868	14	6/8/12	Not Specified	31	1474.33	0.04	Regular Air	114.46	47.98	3.61	Carlos Daly	Nunavut	Nunavut	Home Office	Technology	Computer Peripherals	"DS/HD IBM Formatted Diskettes, 200/Pack - Staples"	Small Pack	2012-06-10
933	15	8/4/12	Not Specified	15	80.61	0.02	Regular Air	-4.72	5.28	2.99	Claudia Miner	Nunavut	Nunavut	Small Business	Office Supplies	Binders and Binder Accessories	"Wilson Jones 1"" Hanging DublLock¬ Ring Binders"	Small Box	2012-08-04
995	16	5/30/11	Medium	46	1815.49	0.03	Regular Air	782.91	39.89	3.04	Neola Schneider	Nunavut	Nunavut	Home Office	Furniture	Office Furnishings	Ultra Commercial Grade Dual Valve Door Closer	Wrap Bag	2011-05-31
998	17	11/25/09	Not Specified	16	248.26	0.07	Regular Air	93.8	15.74	1.39	Allen Rosenblatt	Nunavut	Nunavut	Small Business	Office Supplies	Envelopes	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	Small Box	2009-11-26
1154	18	2/14/12	Critical	44	4462.23	0.04	Delivery Truck	440.72	100.98	26.22	Sylvia Foulston	Nunavut	Nunavut	Home Office	Furniture	Bookcases	Hon 4-Shelf Metal Bookcases	Jumbo Box	2012-02-16
1154	19	2/14/12	Critical	11	663.784	0.25	Regular Air	-481.04	71.37	69	Sylvia Foulston	Nunavut	Nunavut	Home Office	Furniture	Tables	"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table"	Large Box	2012-02-16
1344	20	4/15/12	Low	15	834.904	0.06	Regular Air	-11.68	65.99	5.26	Jim Radford	Nunavut	Nunavut	Corporate	Technology	Telephones and Communication	g520	Small Box	2012-04-22
1344	21	4/15/12	Low	18	2480.9205	0.01	Regular Air	313.58	155.99	8.99	Jim Radford	Nunavut	Nunavut	Corporate	Technology	Telephones and Communication	LX 788	Small Box	2012-04-19
1412	22	3/12/10	Not Specified	13	59.03	0.1	Express Air	26.92	3.69	0.5	Carlos Soltero	Nunavut	Nunavut	Consumer	Office Supplies	Labels	Avery 52	Small Box	2010-03-14
1412	23	3/12/10	Not Specified	21	97.48	0.05	Regular Air	-5.77	4.71	0.7	Carlos Soltero	Nunavut	Nunavut	Consumer	Office Supplies	Rubber Bands	Plymouth Boxed Rubber Bands by Plymouth	Wrap Bag	2010-03-14
1539	24	3/9/11	Low	33	511.83	0.1	Regular Air	-172.88	15.99	13.18	Carl Ludwig	Nunavut	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""	Small Box	2011-03-11
1539	25	3/9/11	Low	38	184.99	0.05	Regular Air	-144.55	4.89	4.93	Carl Ludwig	Nunavut	Nunavut	Corporate	Technology	Computer Peripherals	"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack"	Small Pack	2011-03-14
1540	26	8/4/12	High	30	80.9	0.09	Regular Air	5.76	2.88	0.7	Don Miller	Nunavut	Nunavut	Home Office	Office Supplies	Pens & Art Supplies	Newell 335	Wrap Bag	2012-08-06
1702	27	5/6/11	High	23	67.24	0.06	Regular Air	4.9	2.84	0.93	Annie Cyprus	Nunavut	Nunavut	Home Office	Office Supplies	Pens & Art Supplies	SANFORD Liquid Accent» Tank-Style Highlighters	Wrap Bag	2011-05-07
1761	28	12/23/10	High	25	12028.23	0.01	Delivery Truck	-547.61	449.99	49	Carl Ludwig	Nunavut	Nunavut	Corporate	Technology	Copiers and Fax	Canon PC940 Copier	Jumbo Drum	2010-12-25
